0	85.4655694266	0.7
10	409.874756009	0.74
20	409.874027807	0.74
30	158.938616261	0.36
40	120.049103522	0.4
50	108.905999872	0.44
60	95.5208944679	0.48
70	90.348789009	0.42
80	86.957370162	0.38
90	80.2347404821	0.38
100	66.3004492945	0.38
110	64.9451623518	0.38
120	64.4516573059	0.38
130	57.0532729293	0.36
140	50.6563173149	0.32
150	47.270863102	0.32
160	46.9252539266	0.3
170	43.2454025563	0.4
180	38.7402029112	0.3
190	34.3774866701	0.28
200	32.2849674386	0.38
210	28.9380098186	0.26
220	28.4101408454	0.24
230	27.0013903234	0.24
240	24.1891868135	0.24
250	23.3708566484	0.24
260	23.1323684966	0.24
270	21.5051886661	0.28
280	20.2521497654	0.2
290	20.0791497247	0.2
300	19.4286803075	0.2
310	19.2098200492	0.2
320	18.9968172546	0.18
330	17.9061769098	0.18
340	17.7573336936	0.18
350	16.8971062753	0.18
360	16.8482930416	0.18
370	16.7985919653	0.18
380	16.4180569429	0.18
390	16.3156807771	0.18
400	15.2546705674	0.18
410	14.9683103033	0.18
420	14.7870840518	0.18
430	14.7195012748	0.18
440	14.6055320272	0.18
450	12.5780433372	0.18
460	12.4921287744	0.16
